# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   RH, EV24
# 
  350,19530111,     ,     
  350,19530112,     ,     
  350,19530113,     ,     
  350,19530114,     ,     
  350,19530115,     ,     
  350,19530116,     ,     
  350,19530117,     ,     
  350,19530118,     ,     
  350,19530119,     ,     
  350,19530120,     ,     
  350,19530121,     ,     
  350,19530122,     ,     
  350,19530123,     ,     
  350,19530124,     ,     
  350,19530125,     ,     
  350,19530126,     ,     
  350,19530127,     ,     
  350,19530128,     ,     
  350,19530129,     ,     
  350,19530130,     ,     
  350,19530131,     ,     
  350,19530201,     ,     
  350,19530202,     ,     
  350,19530203,     ,     
  350,19530204,     ,     
  350,19530205,     ,     
  350,19530206,     ,     
  350,19530207,     ,     
  350,19530208,     ,     
  350,19530209,     ,     
  350,19530210,     ,     
  350,19530211,     ,     
  350,19530212,     ,     
  350,19530213,     ,     
  350,19530214,     ,     
  350,19530215,     ,     
  350,19530216,     ,     
  350,19530217,     ,     
  350,19530218,     ,     
  350,19530219,     ,     
  350,19530220,     ,     
  350,19530221,     ,     
  350,19530222,     ,     
  350,19530223,     ,     
  350,19530224,     ,     
  350,19530225,     ,     
  350,19530226,     ,     
  350,19530227,     ,     
  350,19530228,     ,     
  350,19530301,     ,     
  350,19530302,     ,     
  350,19530303,     ,     
  350,19530304,     ,     
  350,19530305,     ,     
  350,19530306,     ,     
  350,19530307,     ,     
  350,19530308,     ,     
  350,19530309,     ,     
  350,19530310,     ,     
  350,19530311,     ,     
  350,19530312,     ,     
  350,19530313,     ,     
  350,19530314,     ,     
  350,19530315,     ,     
  350,19530316,     ,     
  350,19530317,     ,     
  350,19530318,     ,     
  350,19530319,     ,     
  350,19530320,     ,     
  350,19530321,     ,     
  350,19530322,     ,     
  350,19530323,     ,     
  350,19530324,     ,     
  350,19530325,     ,     
  350,19530326,     ,     
  350,19530327,     ,     
  350,19530328,     ,     
  350,19530329,     ,     
  350,19530330,     ,     
  350,19530331,     ,     
  350,19530401,     ,     
  350,19530402,     ,     
  350,19530403,     ,     
  350,19530404,     ,     
  350,19530405,     ,     
  350,19530406,     ,     
  350,19530407,     ,     
  350,19530408,     ,     
  350,19530409,     ,     
  350,19530410,     ,     
  350,19530411,     ,     
  350,19530412,     ,     
  350,19530413,     ,     
  350,19530414,     ,     
  350,19530415,     ,     
  350,19530416,     ,     
  350,19530417,     ,     
  350,19530418,     ,     
  350,19530419,     ,     
  350,19530420,     ,     
  350,19530421,     ,     
  350,19530422,     ,     
  350,19530423,     ,     
  350,19530424,     ,     
  350,19530425,     ,     
  350,19530426,     ,     
  350,19530427,     ,     
  350,19530428,     ,     
  350,19530429,     ,     
  350,19530430,     ,     
  350,19530501,     ,     
  350,19530502,     ,     
  350,19530503,     ,     
  350,19530504,     ,     
  350,19530505,     ,     
  350,19530506,     ,     
  350,19530507,     ,     
  350,19530508,     ,     
  350,19530509,     ,     
  350,19530510,     ,     
  350,19530511,     ,     
  350,19530512,     ,     
  350,19530513,     ,     
