Date,Waterstand gemeten,Theoretische curve (Q50),Theoretische curve (Q90)
2018-03-28 08:15:00,35.485,NaN,NaN
2018-03-28 08:30:00,35.485,NaN,NaN
2018-03-28 08:45:00,35.486,NaN,NaN
2018-03-28 09:00:00,35.486,NaN,NaN
2018-03-28 09:15:00,35.486,NaN,NaN
2018-03-28 09:30:00,35.487,NaN,NaN
2018-03-28 09:45:00,35.487,NaN,NaN
2018-03-28 10:00:00,35.486,NaN,NaN
2018-03-28 10:15:00,35.482,NaN,NaN
2018-03-28 10:30:00,35.478,NaN,NaN
2018-03-28 10:45:00,35.486,NaN,NaN
2018-03-28 11:00:00,35.494,NaN,NaN
2018-03-28 11:15:00,35.489,NaN,NaN
2018-03-28 11:30:00,35.484,NaN,NaN
2018-03-28 11:45:00,35.483,NaN,NaN
2018-03-28 12:00:00,35.482,NaN,NaN
2018-03-28 12:15:00,35.484,NaN,NaN
2018-03-28 12:30:00,35.487,NaN,NaN
2018-03-28 12:45:00,35.482,NaN,NaN
2018-03-28 13:00:00,35.478,NaN,NaN
2018-03-28 13:15:00,35.485,NaN,NaN
2018-03-28 13:30:00,35.491,NaN,NaN
2018-03-28 13:45:00,35.487,NaN,NaN
2018-03-28 14:00:00,35.483,NaN,NaN
2018-03-28 14:15:00,35.489,NaN,NaN
2018-03-28 14:30:00,35.494,NaN,NaN
2018-03-28 14:45:00,35.488,NaN,NaN
2018-03-28 15:00:00,35.482,NaN,NaN
2018-03-28 15:15:00,35.487,NaN,NaN
2018-03-28 15:30:00,35.492,NaN,NaN
2018-03-28 15:45:00,35.490,NaN,NaN
2018-03-28 16:00:00,35.488,NaN,NaN
2018-03-28 16:15:00,35.486,NaN,NaN
2018-03-28 16:30:00,35.484,NaN,NaN
2018-03-28 16:45:00,35.487,NaN,NaN
2018-03-28 17:00:00,35.490,NaN,NaN
2018-03-28 17:15:00,35.490,NaN,NaN
2018-03-28 17:30:00,35.490,NaN,NaN
